alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.0009765625,0.0797169976978,-0.197704410655,0.0045083993216,4
0.00048828125,0.216189191965,0.227531688388,0.015900100124,8
0.000244140625,0.260597019909,0.339236696805,0.023683671614,17
0.0001220703125,0.285617339189,0.384264761577,0.032142860174,21
6.103515625e-05,0.305159481458,0.482707965901,0.0461328906277,41
3.0517578125e-05,0.320671401647,0.511745605142,0.0693329291268,100
1.52587890625e-05,0.354894896008,0.517332451873,0.170114741889,212
7.62939453125e-06,0.391620928419,0.472790440826,0.381868432548,322
3.81469726562e-06,0.418237368646,0.418725840346,0.683941356719,444
1.90734863281e-06,0.431877418101,0.368567935977,1.00018279762,567
9.53674316406e-07,0.438269125429,0.339930566078,1.33549727216,710
