alpha,r_squared,sum(abs(w)),sum(abs(w) > 0.0)
0.0009765625,0.102369464538,0.0067496709382,8
0.00048828125,0.230466362385,0.0171550131239,11
0.000244140625,0.273451049483,0.0245886429488,16
0.0001220703125,0.298394135184,0.0328188734358,17
6.103515625e-05,0.317541948511,0.0462083086394,39
3.0517578125e-05,0.332617031506,0.0681305028689,89
1.52587890625e-05,0.366148215067,0.164718028667,195
7.62939453125e-06,0.402663340076,0.370459685621,322
3.81469726562e-06,0.429124218346,0.6633392027,430
1.90734863281e-06,0.44305701095,0.977582874759,539
9.53674316406e-07,0.449443225174,1.30465003636,706
