alpha,r_squared,sum(abs(w)),sum(abs(w) > 0.0)
0.0009765625,0.0865393356829,0.00475436949004,4
0.00048828125,0.226423952929,0.0161442848259,8
0.000244140625,0.2721229125,0.0239701312827,17
0.0001220703125,0.297816374335,0.032440808846,21
6.103515625e-05,0.31754665377,0.0462129375215,42
3.0517578125e-05,0.332576740861,0.0680512732072,102
1.52587890625e-05,0.36612749494,0.164635526805,211
7.62939453125e-06,0.40263754675,0.370182745659,324
3.81469726562e-06,0.429190858353,0.663877446867,445
1.90734863281e-06,0.442972195644,0.974290344851,560
9.53674316406e-07,0.449444106095,1.30289604689,707
