2018-05-03 03:30:52.262877+01:00 Info fft | Loaded 1865 reward entries
2018-05-03 03:30:52.263191+01:00 Info fft | Loaded 3644 feature entries
2018-05-03 03:30:52.263196+01:00 Info fft | Loaded 1116 training examples
2018-05-03 03:30:52.263704+01:00 Info Loaded a total of 1116 training examples
2018-05-03 03:30:52.416 [32mINFO[0m : ((epoch 1)(training(((accuracy 0.34827144686299616)(loss 0.78158984425411726))))(validation(((accuracy 0.41916167664670656)(loss 0.74154909605284935))))(test(((accuracy 0.32142857142857145)(loss 0.78144110274726619)))))
2018-05-03 03:30:52.440 [32mINFO[0m : ((epoch 2)(training(((accuracy 0.71062740076824582)(loss 0.64996696516811359))))(validation(((accuracy 0.70658682634730541)(loss 0.656460125646742))))(test(((accuracy 0.7857142857142857)(loss 0.6391504320490361)))))
2018-05-03 03:30:52.462 [32mINFO[0m : ((epoch 3)(training(((accuracy 0.74519846350832264)(loss 0.600900877182525))))(validation(((accuracy 0.71257485029940115)(loss 0.62118451006287878))))(test(((accuracy 0.75)(loss 0.58876793947752448)))))
2018-05-03 03:30:52.485 [32mINFO[0m : ((epoch 4)(training(((accuracy 0.76824583866837393)(loss 0.57028348863925371))))(validation(((accuracy 0.688622754491018)(loss 0.60110398936164855))))(test(((accuracy 0.76190476190476186)(loss 0.5552942299897109)))))
2018-05-03 03:30:52.509 [32mINFO[0m : ((epoch 5)(training(((accuracy 0.78873239436619713)(loss 0.54515414647809723))))(validation(((accuracy 0.71257485029940115)(loss 0.58233421025078669))))(test(((accuracy 0.72619047619047616)(loss 0.53565377613901355)))))
2018-05-03 03:30:52.535 [32mINFO[0m : ((epoch 6)(training(((accuracy 0.78617157490396927)(loss 0.52593418968830341))))(validation(((accuracy 0.688622754491018)(loss 0.568432675690932))))(test(((accuracy 0.76190476190476186)(loss 0.513266350628007)))))
2018-05-03 03:30:52.578 [32mINFO[0m : ((epoch 7)(training(((accuracy 0.79641485275288093)(loss 0.50936459703026238))))(validation(((accuracy 0.69461077844311381)(loss 0.55668513349432036))))(test(((accuracy 0.75595238095238093)(loss 0.50371417198145318)))))
2018-05-03 03:30:52.601 [32mINFO[0m : ((epoch 8)(training(((accuracy 0.80409731113956462)(loss 0.49518741656231929))))(validation(((accuracy 0.70658682634730541)(loss 0.54534527044589387))))(test(((accuracy 0.7678571428571429)(loss 0.48628831742392231)))))
2018-05-03 03:30:52.623 [32mINFO[0m : ((epoch 9)(training(((accuracy 0.80281690140845074)(loss 0.48369349645296378))))(validation(((accuracy 0.70658682634730541)(loss 0.5357543356634068))))(test(((accuracy 0.7678571428571429)(loss 0.47930038713001755)))))
2018-05-03 03:30:52.646 [32mINFO[0m : ((epoch 10)(training(((accuracy 0.8053777208706786)(loss 0.4737758535272858))))(validation(((accuracy 0.73652694610778446)(loss 0.52741863306473968))))(test(((accuracy 0.77976190476190477)(loss 0.46919326703544506)))))
2018-05-03 03:30:52.666 [32mINFO[0m : ((epoch 11)(training(((accuracy 0.8053777208706786)(loss 0.46520419979053279))))(validation(((accuracy 0.73652694610778446)(loss 0.52082005548391264))))(test(((accuracy 0.77976190476190477)(loss 0.46484851063373189)))))
2018-05-03 03:30:52.687 [32mINFO[0m : ((epoch 12)(training(((accuracy 0.80665813060179259)(loss 0.45789049982186364))))(validation(((accuracy 0.74850299401197606)(loss 0.51282626621449912))))(test(((accuracy 0.7857142857142857)(loss 0.45632938728108963)))))
2018-05-03 03:30:52.713 [32mINFO[0m : ((epoch 13)(training(((accuracy 0.80665813060179259)(loss 0.4512767466049285))))(validation(((accuracy 0.74850299401197606)(loss 0.50904540667554132))))(test(((accuracy 0.7857142857142857)(loss 0.45506900345546353)))))
2018-05-03 03:30:52.746 [32mINFO[0m : ((epoch 14)(training(((accuracy 0.80921895006402045)(loss 0.44594060946084269))))(validation(((accuracy 0.74850299401197606)(loss 0.5021273883662577))))(test(((accuracy 0.7857142857142857)(loss 0.44658833339623316)))))
