2018-05-03 03:44:53.488614+01:00 Info kahan-sum | Loaded 19 reward entries
2018-05-03 03:44:53.488620+01:00 Info kahan-sum | Loaded 53 feature entries
2018-05-03 03:44:53.488623+01:00 Info kahan-sum | Loaded 53 training examples
2018-05-03 03:44:53.488989+01:00 Info Loaded a total of 53 training examples
2018-05-03 03:44:53.592 [32mINFO[0m : ((epoch 1)(training(((accuracy 0.48648648648648651)(loss 0.69620482857555055))))(validation(((accuracy 0.625)(loss 0.67415185933922))))(test(((accuracy 0.375)(loss 0.70038559997751271)))))
2018-05-03 03:44:53.594 [32mINFO[0m : ((epoch 2)(training(((accuracy 0.67567567567567566)(loss 0.6304420845556219))))(validation(((accuracy 0.25)(loss 0.706176723595183))))(test(((accuracy 0.5)(loss 0.6985115735682621)))))
2018-05-03 03:44:53.595 [32mINFO[0m : ((epoch 3)(training(((accuracy 0.67567567567567566)(loss 0.599878901772548))))(validation(((accuracy 0.25)(loss 0.705378984484877))))(test(((accuracy 0.5)(loss 0.69547232675382675)))))
2018-05-03 03:44:53.597 [32mINFO[0m : ((epoch 4)(training(((accuracy 0.67567567567567566)(loss 0.58079960253653617))))(validation(((accuracy 0.25)(loss 0.72317501292455377))))(test(((accuracy 0.5)(loss 0.69498497875836074)))))
2018-05-03 03:44:53.599 [32mINFO[0m : ((epoch 5)(training(((accuracy 0.67567567567567566)(loss 0.56122714104769222))))(validation(((accuracy 0.25)(loss 0.71146666578885753))))(test(((accuracy 0.5)(loss 0.69290907020679582)))))
2018-05-03 03:44:53.601 [32mINFO[0m : ((epoch 6)(training(((accuracy 0.67567567567567566)(loss 0.54709421147829818))))(validation(((accuracy 0.25)(loss 0.72060349053096762))))(test(((accuracy 0.5)(loss 0.69391113302763063)))))
2018-05-03 03:44:53.602 [32mINFO[0m : ((epoch 7)(training(((accuracy 0.67567567567567566)(loss 0.53092999792015794))))(validation(((accuracy 0.25)(loss 0.70368230314775437))))(test(((accuracy 0.5)(loss 0.68864554123356825)))))
2018-05-03 03:44:53.605 [32mINFO[0m : ((epoch 8)(training(((accuracy 0.67567567567567566)(loss 0.51609426847030415))))(validation(((accuracy 0.25)(loss 0.70752846936677438))))(test(((accuracy 0.5)(loss 0.69094263081228191)))))
2018-05-03 03:44:53.607 [32mINFO[0m : ((epoch 9)(training(((accuracy 0.70270270270270274)(loss 0.50047862079730809))))(validation(((accuracy 0.375)(loss 0.68883710186221059))))(test(((accuracy 0.5)(loss 0.68134727930819927)))))
2018-05-03 03:44:53.608 [32mINFO[0m : ((epoch 10)(training(((accuracy 0.70270270270270274)(loss 0.4859385514203029))))(validation(((accuracy 0.375)(loss 0.68718467796955651))))(test(((accuracy 0.5)(loss 0.67756128882736677)))))
2018-05-03 03:44:53.611 [32mINFO[0m : ((epoch 11)(training(((accuracy 0.7567567567567568)(loss 0.4705593155548029))))(validation(((accuracy 0.375)(loss 0.66152171889393174))))(test(((accuracy 0.5)(loss 0.66480580962010483)))))
2018-05-03 03:44:53.612 [32mINFO[0m : ((epoch 12)(training(((accuracy 0.7567567567567568)(loss 0.45562775991252685))))(validation(((accuracy 0.375)(loss 0.66137247999893567))))(test(((accuracy 0.5)(loss 0.66512610047014931)))))
2018-05-03 03:44:53.613 [32mINFO[0m : ((epoch 13)(training(((accuracy 0.89189189189189189)(loss 0.44105574075742432))))(validation(((accuracy 0.625)(loss 0.63763020574958484))))(test(((accuracy 0.5)(loss 0.65049395524119213)))))
