2018-05-03 03:30:52.252316+01:00 Info lens | Loaded 1698 reward entries
2018-05-03 03:30:52.252582+01:00 Info lens | Loaded 3567 feature entries
2018-05-03 03:30:52.252591+01:00 Info lens | Loaded 1145 training examples
2018-05-03 03:30:52.253052+01:00 Info Loaded a total of 1145 training examples
2018-05-03 03:30:52.407 [32mINFO[0m : ((epoch 1)(training(((accuracy 0.41073657927590512)(loss 0.82824622459000519))))(validation(((accuracy 0.37790697674418605)(loss 0.8326644610707824))))(test(((accuracy 0.39534883720930231)(loss 0.82378350341414164)))))
2018-05-03 03:30:52.432 [32mINFO[0m : ((epoch 2)(training(((accuracy 0.47815230961298377)(loss 0.71554506130172779))))(validation(((accuracy 0.42441860465116277)(loss 0.71384095542790393))))(test(((accuracy 0.47093023255813954)(loss 0.70450972321544447)))))
2018-05-03 03:30:52.457 [32mINFO[0m : ((epoch 3)(training(((accuracy 0.54057428214731584)(loss 0.67317237843759636))))(validation(((accuracy 0.55232558139534882)(loss 0.67449351917661449))))(test(((accuracy 0.61627906976744184)(loss 0.66300757617815942)))))
2018-05-03 03:30:52.480 [32mINFO[0m : ((epoch 4)(training(((accuracy 0.63295880149812733)(loss 0.64781021486431445))))(validation(((accuracy 0.67441860465116277)(loss 0.65114355712818361))))(test(((accuracy 0.69186046511627908)(loss 0.63752420613116)))))
2018-05-03 03:30:52.503 [32mINFO[0m : ((epoch 5)(training(((accuracy 0.7415730337078652)(loss 0.62780901533176925))))(validation(((accuracy 0.77906976744186052)(loss 0.63369137484534432))))(test(((accuracy 0.80232558139534882)(loss 0.61851792867366406)))))
2018-05-03 03:30:52.539 [32mINFO[0m : ((epoch 6)(training(((accuracy 0.77902621722846443)(loss 0.61118656748964928))))(validation(((accuracy 0.79069767441860461)(loss 0.61903170560798415))))(test(((accuracy 0.80813953488372092)(loss 0.60107716020141888)))))
2018-05-03 03:30:52.560 [32mINFO[0m : ((epoch 7)(training(((accuracy 0.818976279650437)(loss 0.59578789556033518))))(validation(((accuracy 0.83139534883720934)(loss 0.605142121971274))))(test(((accuracy 0.84883720930232553)(loss 0.58576697248788767)))))
2018-05-03 03:30:52.582 [32mINFO[0m : ((epoch 8)(training(((accuracy 0.83021223470661676)(loss 0.58400471552283828))))(validation(((accuracy 0.81976744186046513)(loss 0.59600800920867048))))(test(((accuracy 0.86046511627906974)(loss 0.572981760332349)))))
2018-05-03 03:30:52.603 [32mINFO[0m : ((epoch 9)(training(((accuracy 0.81647940074906367)(loss 0.570634819804857))))(validation(((accuracy 0.79069767441860461)(loss 0.582849359732025))))(test(((accuracy 0.85465116279069764)(loss 0.56008168213432741)))))
2018-05-03 03:30:52.623 [32mINFO[0m : ((epoch 10)(training(((accuracy 0.81647940074906367)(loss 0.55959614164971827))))(validation(((accuracy 0.79069767441860461)(loss 0.573156716262967))))(test(((accuracy 0.85465116279069764)(loss 0.54876085109424644)))))
2018-05-03 03:30:52.644 [32mINFO[0m : ((epoch 11)(training(((accuracy 0.8314606741573034)(loss 0.55065058384009924))))(validation(((accuracy 0.78488372093023251)(loss 0.56725729991906637))))(test(((accuracy 0.85465116279069764)(loss 0.53905276250508127)))))
2018-05-03 03:30:52.670 [32mINFO[0m : ((epoch 12)(training(((accuracy 0.82771535580524347)(loss 0.53992054101490339))))(validation(((accuracy 0.77906976744186052)(loss 0.55568011477542689))))(test(((accuracy 0.84883720930232553)(loss 0.52881821024447762)))))
2018-05-03 03:30:52.698 [32mINFO[0m : ((epoch 13)(training(((accuracy 0.82771535580524347)(loss 0.53161887519978845))))(validation(((accuracy 0.78488372093023251)(loss 0.55106511109484024))))(test(((accuracy 0.85465116279069764)(loss 0.52022330746289)))))
2018-05-03 03:30:52.729 [32mINFO[0m : ((epoch 14)(training(((accuracy 0.82397003745318353)(loss 0.5225631895451277))))(validation(((accuracy 0.77906976744186052)(loss 0.54099968959633615))))(test(((accuracy 0.84883720930232553)(loss 0.51145876418891612)))))
2018-05-03 03:30:52.763 [32mINFO[0m : ((epoch 15)(training(((accuracy 0.82771535580524347)(loss 0.5143310436768781))))(validation(((accuracy 0.78488372093023251)(loss 0.53585777976337967))))(test(((accuracy 0.85465116279069764)(loss 0.50235040474185733)))))
2018-05-03 03:30:52.796 [32mINFO[0m : ((epoch 16)(training(((accuracy 0.83021223470661676)(loss 0.50502217971701846))))(validation(((accuracy 0.77906976744186052)(loss 0.52594982298498982))))(test(((accuracy 0.84883720930232553)(loss 0.49409345013910766)))))
2018-05-03 03:30:52.839 [32mINFO[0m : ((epoch 17)(training(((accuracy 0.83021223470661676)(loss 0.49680041630931715))))(validation(((accuracy 0.77906976744186052)(loss 0.51988428767645489))))(test(((accuracy 0.84883720930232553)(loss 0.48642299041097)))))
2018-05-03 03:30:52.890 [32mINFO[0m : ((epoch 18)(training(((accuracy 0.8202247191011236)(loss 0.48841919265407996))))(validation(((accuracy 0.78488372093023251)(loss 0.51175805726814172))))(test(((accuracy 0.85465116279069764)(loss 0.47806089324872458)))))
2018-05-03 03:30:52.935 [32mINFO[0m : ((epoch 19)(training(((accuracy 0.82397003745318353)(loss 0.48069628196808606))))(validation(((accuracy 0.78488372093023251)(loss 0.50633763202595072))))(test(((accuracy 0.85465116279069764)(loss 0.47153391850724391)))))
