2018-05-03 03:33:39.567145+01:00 Info sequence | Loaded 14618 reward entries
2018-05-03 03:33:39.570120+01:00 Info sequence | Loaded 22106 feature entries
2018-05-03 03:33:39.570194+01:00 Info sequence | Loaded 12068 training examples
2018-05-03 03:33:39.570798+01:00 Info Loaded a total of 12068 training examples
2018-05-03 03:33:43.582 [32mINFO[0m : ((epoch 1)(training(((accuracy 0.52622232745353381)(loss 0.705210644646684))))(validation(((accuracy 0.51878453038674033)(loss 0.71042209965785041))))(test(((accuracy 0.53561568194367748)(loss 0.702060503503967)))))
2018-05-03 03:33:45.489 [32mINFO[0m : ((epoch 2)(training(((accuracy 0.80430922220906831)(loss 0.548305550722715))))(validation(((accuracy 0.78674033149171274)(loss 0.5616189741495996))))(test(((accuracy 0.81501932633903917)(loss 0.54298802638464161)))))
2018-05-03 03:33:47.423 [32mINFO[0m : ((epoch 3)(training(((accuracy 0.80655854149402151)(loss 0.4928945867863368))))(validation(((accuracy 0.7850828729281768)(loss 0.50984182461686611))))(test(((accuracy 0.81501932633903917)(loss 0.48684960108820974)))))
2018-05-03 03:33:49.326 [32mINFO[0m : ((epoch 4)(training(((accuracy 0.7953119450692554)(loss 0.45878141457386645))))(validation(((accuracy 0.77679558011049721)(loss 0.47767340891880394))))(test(((accuracy 0.804527885146328)(loss 0.4526371056974926)))))
2018-05-03 03:33:51.194 [32mINFO[0m : ((epoch 5)(training(((accuracy 0.7953119450692554)(loss 0.43539791263110467))))(validation(((accuracy 0.77679558011049721)(loss 0.45568628963877456))))(test(((accuracy 0.804527885146328)(loss 0.42949131188380441)))))
2018-05-03 03:33:53.104 [32mINFO[0m : ((epoch 6)(training(((accuracy 0.80063928021782882)(loss 0.41926734730118725))))(validation(((accuracy 0.7850828729281768)(loss 0.44030846551684288))))(test(((accuracy 0.80673660960795146)(loss 0.41385599523587541)))))
2018-05-03 03:33:55.071 [32mINFO[0m : ((epoch 7)(training(((accuracy 0.80063928021782882)(loss 0.40739836781846084))))(validation(((accuracy 0.7850828729281768)(loss 0.42888913226261566))))(test(((accuracy 0.80673660960795146)(loss 0.40245399770697)))))
2018-05-03 03:33:57.041 [32mINFO[0m : ((epoch 8)(training(((accuracy 0.80063928021782882)(loss 0.39773847500899545))))(validation(((accuracy 0.7850828729281768)(loss 0.41949277816417307))))(test(((accuracy 0.80673660960795146)(loss 0.39318965228598141)))))
2018-05-03 03:33:58.976 [32mINFO[0m : ((epoch 9)(training(((accuracy 0.80063928021782882)(loss 0.38960698702356189))))(validation(((accuracy 0.7850828729281768)(loss 0.41165013687447344))))(test(((accuracy 0.80673660960795146)(loss 0.38569223636416933)))))
2018-05-03 03:34:00.907 [32mINFO[0m : ((epoch 10)(training(((accuracy 0.826565644607553)(loss 0.382468528863468))))(validation(((accuracy 0.80386740331491713)(loss 0.40467915510362323))))(test(((accuracy 0.82551076753175046)(loss 0.37921194457388047)))))
2018-05-03 03:34:02.884 [32mINFO[0m : ((epoch 11)(training(((accuracy 0.826565644607553)(loss 0.37645244668618905))))(validation(((accuracy 0.80331491712707181)(loss 0.39891172862485619))))(test(((accuracy 0.82495858641634456)(loss 0.37381892119405136)))))
2018-05-03 03:34:04.820 [32mINFO[0m : ((epoch 12)(training(((accuracy 0.82668402983307687)(loss 0.37085076016421264))))(validation(((accuracy 0.80331491712707181)(loss 0.39335904223210028))))(test(((accuracy 0.82495858641634456)(loss 0.36869902457461717)))))
2018-05-03 03:34:06.782 [32mINFO[0m : ((epoch 13)(training(((accuracy 0.82668402983307687)(loss 0.36581469891429069))))(validation(((accuracy 0.80331491712707181)(loss 0.38838475122763738))))(test(((accuracy 0.82495858641634456)(loss 0.36407879324381021)))))
2018-05-03 03:34:08.745 [32mINFO[0m : ((epoch 14)(training(((accuracy 0.82786788208831541)(loss 0.36116173573356686))))(validation(((accuracy 0.8071823204419889)(loss 0.38413538789508817))))(test(((accuracy 0.81778023191606852)(loss 0.36006836523889185)))))
